,yield,temp(â„ƒ),time(h),598_organocatalyst,2017_organocatalyst
0,81.0,1.120490325006081,-0.171685708586216,0,1
1,14.0,1.120490325006081,-0.8011999734023415,0,1
2,74.0,1.120490325006081,-0.171685708586216,0,1
3,15.0,1.120490325006081,-0.8011999734023415,0,1
4,90.0,1.120490325006081,-0.171685708586216,0,1
5,81.0,1.120490325006081,-0.8011999734023415,0,1
6,43.0,1.120490325006081,-1.0110380616743833,0,1
7,88.0,1.120490325006081,-0.8011999734023415,0,1
8,95.0,1.120490325006081,-1.115957105810404,0,1
9,65.0,1.120490325006081,-1.325795194082446,0,1
10,33.0,1.120490325006081,-1.115957105810404,0,0
11,93.0,1.120490325006081,-1.115957105810404,0,0
12,84.0,1.120490325006081,-1.115957105810404,0,0
13,87.0,1.120490325006081,-1.115957105810404,0,1
14,85.0,1.120490325006081,-1.115957105810404,0,1
15,85.0,1.120490325006081,-1.115957105810404,0,1
16,86.0,1.120490325006081,-1.115957105810404,0,1
17,84.0,1.120490325006081,-1.115957105810404,0,1
18,68.0,1.120490325006081,-1.115957105810404,0,1
19,88.0,1.120490325006081,-1.115957105810404,0,1
20,85.0,1.120490325006081,-1.115957105810404,0,1
21,68.0,1.120490325006081,-1.115957105810404,0,1
22,87.0,1.120490325006081,-1.115957105810404,0,1
23,37.0,1.120490325006081,-1.115957105810404,0,1
24,9.0,1.120490325006081,-1.115957105810404,0,1
25,84.0,1.120490325006081,-1.115957105810404,0,1
26,86.0,1.120490325006081,-1.325795194082446,0,1
27,39.0,1.120490325006081,-1.325795194082446,0,1
28,88.0,1.120490325006081,-1.325795194082446,0,1
29,83.0,1.120490325006081,-1.325795194082446,0,1
30,83.0,1.120490325006081,-1.325795194082446,0,1
31,86.0,1.120490325006081,-1.325795194082446,0,1
32,87.0,1.120490325006081,-1.325795194082446,0,1
33,7.0,1.120490325006081,-0.171685708586216,1,1
34,32.0,1.120490325006081,-0.171685708586216,1,1
35,80.0,1.120490325006081,-0.171685708586216,1,1
36,6.0,1.120490325006081,-0.171685708586216,1,1
37,11.0,1.120490325006081,-0.171685708586216,1,1
38,32.0,1.120490325006081,-0.171685708586216,1,1
39,3.0,1.120490325006081,-0.171685708586216,0,0
40,0.0,1.120490325006081,-0.171685708586216,0,1
41,50.0,1.120490325006081,-1.115957105810404,0,1
42,40.0,1.120490325006081,-1.115957105810404,0,1
43,0.0,1.120490325006081,-1.115957105810404,0,1
44,4.0,1.120490325006081,-1.325795194082446,0,1
45,6.0,1.120490325006081,-1.325795194082446,1,1
46,3.0,1.120490325006081,-1.325795194082446,1,1
47,3.0,1.120490325006081,-1.325795194082446,0,1
48,87.0,-0.935601812799328,-0.3815237968582579,0,0
49,76.0,-0.935601812799328,-0.3815237968582579,0,0
50,93.0,-0.935601812799328,-0.3815237968582579,0,0
51,90.0,-0.935601812799328,-0.3815237968582579,0,0
52,91.0,-0.935601812799328,-0.3815237968582579,0,0
53,78.0,-0.935601812799328,1.0873428210460347,0,0
54,72.0,-0.935601812799328,1.0873428210460347,0,0
55,70.0,-0.935601812799328,-0.3815237968582579,0,0
56,86.0,-0.935601812799328,-0.3815237968582579,0,0
57,73.0,-0.935601812799328,-0.3815237968582579,0,0
58,81.0,-0.935601812799328,-0.3815237968582579,0,0
59,91.0,-0.935601812799328,-0.3815237968582579,0,0
60,80.0,-0.935601812799328,-0.3815237968582579,0,0
61,69.0,-0.935601812799328,1.0873428210460347,0,0
62,90.0,-0.935601812799328,-0.171685708586216,1,1
63,5.0,-0.935601812799328,-0.171685708586216,1,1
64,75.0,-0.935601812799328,-0.171685708586216,1,1
65,39.0,-0.935601812799328,1.0873428210460347,1,1
66,64.0,-0.935601812799328,1.0873428210460347,1,1
67,69.0,-0.935601812799328,1.0873428210460347,1,1
68,47.0,-0.935601812799328,1.0873428210460347,1,1
69,63.0,-0.935601812799328,1.0873428210460347,1,1
70,9.0,-0.935601812799328,1.0873428210460347,1,1
71,29.0,-0.935601812799328,1.0873428210460347,1,1
72,91.0,-0.935601812799328,-0.171685708586216,1,1
73,33.0,-0.935601812799328,1.0873428210460347,1,1
74,0.0,0.8136109014530347,1.0873428210460347,1,1
75,0.0,0.8136109014530347,1.0873428210460347,1,1
76,0.0,0.8136109014530347,1.0873428210460347,1,1
77,32.0,-0.935601812799328,1.0873428210460347,1,1
78,46.0,-0.935601812799328,1.0873428210460347,1,1
79,36.0,-0.935601812799328,1.0873428210460347,1,1
80,44.0,-0.935601812799328,1.0873428210460347,1,1
81,11.0,-0.935601812799328,1.0873428210460347,1,1
82,40.0,-0.935601812799328,1.0873428210460347,1,1
83,21.0,-0.935601812799328,1.0873428210460347,1,1
84,8.0,-0.935601812799328,1.0873428210460347,1,1
85,17.0,-0.935601812799328,1.0873428210460347,1,1
86,37.0,-0.935601812799328,1.0873428210460347,1,1
87,21.0,-0.935601812799328,1.0873428210460347,1,1
88,21.0,0.1998520543469425,1.0873428210460347,1,1
89,7.0,0.8136109014530347,1.0873428210460347,1,1
90,0.0,0.8136109014530347,1.0873428210460347,1,1
91,2.0,0.8136109014530347,1.0873428210460347,1,1
92,14.0,0.8136109014530347,1.0873428210460347,0,0
93,86.0,-0.935601812799328,-0.171685708586216,1,1
94,67.0,-0.935601812799328,-0.171685708586216,1,1
95,69.0,-0.935601812799328,-0.171685708586216,1,1
96,88.0,-0.935601812799328,-0.171685708586216,1,1
97,80.0,-0.935601812799328,-0.171685708586216,1,1
98,84.0,-0.935601812799328,-0.171685708586216,1,1
99,79.0,-0.935601812799328,-0.171685708586216,1,1
100,82.0,-0.935601812799328,-0.171685708586216,1,1
101,90.0,-0.935601812799328,-0.171685708586216,1,1
102,65.0,-0.935601812799328,-0.171685708586216,1,1
103,80.0,-0.935601812799328,-0.171685708586216,1,1
104,76.0,-0.935601812799328,-0.171685708586216,1,1
105,89.0,-0.935601812799328,-0.171685708586216,1,1
106,94.0,-0.935601812799328,0.4578285562299093,1,1
107,99.0,-0.935601812799328,1.0873428210460347,0,0
108,80.0,-0.935601812799328,1.0873428210460347,0,0
109,97.0,-0.935601812799328,1.0873428210460347,0,0
110,98.0,-0.935601812799328,2.346371350678285,0,0
111,99.0,-0.935601812799328,1.0873428210460347,0,0
112,75.0,-0.935601812799328,1.0873428210460347,0,0
113,95.0,-0.935601812799328,1.0873428210460347,0,0
114,95.0,-0.935601812799328,1.0873428210460347,0,0
115,81.0,-0.935601812799328,2.346371350678285,0,0
116,95.0,-0.935601812799328,2.346371350678285,0,0
117,89.0,-0.935601812799328,1.0873428210460347,0,0
118,99.0,-0.935601812799328,2.346371350678285,0,0
119,83.0,0.1998520543469425,1.0873428210460347,0,0
120,99.0,-0.935601812799328,-0.8011999734023415,0,0
