,yield,MAXssssC_x,MINssssC_x,MDEC-34_y,MAXsF_x,MINsF_x,MDEC-13_y,MINaaS_x,MAXaaS_x,GGI1_y,MAXssssC_y,MINssssC_y,ETA_eta_BR_y,AATSC0d_y,mZagreb1_y,ETA_eta_B_y,GATS5Z_x,ATSC4Z_y,ATSC4m_y,Xc-3d_y,ATSC2v_y,AATSC2v_y,MATS2Z_x,C4SP3_y,MATS2v_y,ATSC2m_y,Xc-6dv_y,ATSC2Z_y,GATS3p_y,ATSC4dv_y,MDEC-11_y,NsCH3_y,ATSC2p_y,Xc-4dv_y,Xc-3dv_y,MIC1_x,SsCH3_y,ATSC2i_y,AATSC1d_y,MATS2p_y,AATSC2p_y,PEOE_VSA8_y,AETA_eta_BR_y,GATS3i_y,MATS2i_y,AATSC2i_y,JGT10_y,BCUTd-1h_y,ATSC7d_y,MIC2_x
0,81.0,,,,,,,,,-0.3712573463636808,,,-0.5334069214120882,0.5017242047753011,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.7469681344108647,-0.745155668364671,-0.5705787103243122,-0.7175430475690526,-0.8723181665782656,-1.0159372919832852,-0.5773502691896258,-0.8978970954121761,-0.5695327115914115,-0.5822002134108877,-0.5613250240464474,0.0575941439399234,-0.8036490007543358,,-0.9592158333821706,-0.4504929173658401,-0.5943225179210394,-0.529205968366265,-0.9329128857739803,-0.9022944680802586,-0.6119681087839567,-1.5282189633077217,-0.4481959054838935,-0.4699435734099274,-0.7363667536415281,0.2276032472260759,0.181808602718161,-0.831111068966018,-0.8095174625363377,0.5063280734108818,-0.6811097044224986,-0.5874511502556145,-0.869562740380428
1,14.0,,,,,,,,,-0.3712573463636808,,,-0.5334069214120882,0.5017242047753011,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.7469681344108647,-0.745155668364671,-0.5705787103243122,-0.7175430475690526,-0.8723181665782656,-1.0159372919832852,-0.5773502691896258,-0.8978970954121761,-0.5695327115914115,-0.5822002134108877,-0.5613250240464474,0.0575941439399234,-0.8036490007543358,,-0.9592158333821706,-0.4504929173658401,-0.5943225179210394,-0.529205968366265,-0.9329128857739803,-0.9022944680802586,-0.6119681087839567,-1.5282189633077217,-0.4481959054838935,-0.4699435734099274,-0.7363667536415281,0.2276032472260759,0.181808602718161,-0.831111068966018,-0.8095174625363377,0.5063280734108818,-0.6811097044224986,-0.5874511502556145,-0.869562740380428
2,74.0,,,,,,-1.2192656125671792,,,-0.3712573463636808,,,-0.5334069214120882,-0.0635372990871959,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.1631337698691835,-0.1707524843678769,-0.5705787103243122,-0.2167035756028407,-0.0640384345930802,-1.0159372919832852,-0.5773502691896258,-0.0615250668159588,0.1061503041493162,-0.5822002134108877,0.1357707904951177,0.8379321555860876,-0.2238587936399396,,-0.269958947119533,-0.159605241991744,-0.5943225179210394,-0.5727485084895779,-0.9329128857739803,-0.2288294229322015,-0.0643343131383803,-0.2836922565077694,-0.0421323831254464,-0.0332870664500307,-1.8647515566903248,0.2276032472260759,0.7795917942153003,0.0486076977628661,0.0675681115779069,0.5063280734108818,-0.6811097044224986,-0.1032603013636343,-0.869562740380428
3,15.0,,,,,,-1.2192656125671792,,,-0.3712573463636808,,,-0.5334069214120882,-0.0635372990871959,-0.7352585558133757,-0.0930137237498286,-0.9330409891363706,-0.1631337698691835,-0.1707524843678769,-0.5705787103243122,-0.2167035756028407,-0.0640384345930802,-1.0159372919832852,-0.5773502691896258,-0.0615250668159588,0.1061503041493162,-0.5822002134108877,0.1357707904951177,0.8379321555860876,-0.2238587936399396,,-0.269958947119533,-0.159605241991744,-0.5943225179210394,-0.5727485084895779,-0.9329128857739803,-0.2288294229322015,-0.0643343131383803,-0.2836922565077694,-0.0421323831254464,-0.0332870664500307,-1.8647515566903248,0.2276032472260759,0.7795917942153003,0.0486076977628661,0.0675681115779069,0.5063280734108818,-0.6811097044224986,-0.1032603013636343,-0.869562740380428
4,90.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804,0.0089807065849771,0.2402637391478098,-1.0159372919832852,-0.5773502691896258,0.2822966271569814,-0.1857698470097878,-0.5822002134108877,-0.1923863300123229,0.258574057653736,-0.6171816665302979,,-0.269958947119533,0.178305795113195,-0.5943225179210394,-0.7652451795950173,-0.9329128857739803,-0.3585262760654654,0.2642283550872974,0.1298728269535078,0.4207678747726934,0.4169091771597852,-0.5018799699576513,-0.3242440406196054,0.3216647006203341,0.4820131321841832,0.4980448074285908,0.2737435265368301,-0.6809957067147355,-0.9576907219750764,-0.869562740380428
5,81.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804,0.0089807065849771,0.2402637391478098,-1.0159372919832852,-0.5773502691896258,0.2822966271569814,-0.1857698470097878,-0.5822002134108877,-0.1923863300123229,0.258574057653736,-0.6171816665302979,,-0.269958947119533,0.178305795113195,-0.5943225179210394,-0.7652451795950173,-0.9329128857739803,-0.3585262760654654,0.2642283550872974,0.1298728269535078,0.4207678747726934,0.4169091771597852,-0.5018799699576513,-0.3242440406196054,0.3216647006203341,0.4820131321841832,0.4980448074285908,0.2737435265368301,-0.6809957067147355,-0.9576907219750764,-0.869562740380428
6,43.0,,,,,,-1.5483774151904244,,,-0.3712573463636808,,,-0.822207077385297,-0.3440209161577104,-0.4929595893971509,-0.3178787071287834,-0.9330409891363706,-1.185779369407654,-1.2131446787779312,-0.7282389912909804,0.0089807065849771,0.2402637391478098,-1.0159372919832852,-0.5773502691896258,0.2822966271569814,-0.1857698470097878,-0.5822002134108877,-0.1923863300123229,0.258574057653736,-0.6171816665302979,,-0.269958947119533,0.178305795113195,-0.5943225179210394,-0.7652451795950173,-0.9329128857739803,-0.3585262760654654,0.2642283550872974,0.1298728269535078,0.4207678747726934,0.4169091771597852,-0.5018799699576513,-0.3242440406196054,0.3216647006203341,0.4820131321841832,0.4980448074285908,0.2737435265368301,-0.6809957067147355,-0.9576907219750764,-0.869562740380428
7,88.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0159372919832852,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.9329128857739803,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.869562740380428
8,95.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0159372919832852,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.9329128857739803,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.869562740380428
9,65.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0159372919832852,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.9329128857739803,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.869562740380428
10,33.0,,,,,,,,,1.9491010684093248,-4.32391563601088,-4.323915636010882,0.9458578774991064,0.8206302351431471,1.1358322146046518,1.5676733534993794,-0.9330409891363706,-0.9989236171353968,-0.9135786758922848,2.078076715940325,0.8003997286336114,0.8928707409971459,-1.0159372919832852,-0.5773502691896258,0.9147034000056554,1.7230116764411612,-0.5822002134108877,1.750578459333983,1.104208210155366,-2.292547274161024,0.7345514579718297,1.7978117116683798,0.3775876543520913,1.458330568011172,1.467563972232579,-0.9329128857739803,1.5796369980426903,-2.035443149005071,-1.04139178898062,0.5175220324204769,0.4311259006422004,-1.8647515566903248,1.4213218502984633,1.4400810283711147,-1.7205777087874228,-2.001832399051698,2.091534845657382,1.642619570631179,1.488832396625181,-0.869562740380428
11,93.0,,,0.1856953381770524,,,0.4917163095737314,,,1.4850293854547236,-0.4935047561453021,-0.4935047561453019,1.6605622634917532,1.572579464791497,1.021408950704254,1.6152500499827158,-0.9330409891363706,1.4892041132951193,1.526601026611586,1.6618200096104685,0.9800640959722192,0.9724982352935948,-1.0159372919832852,1.7320508075688774,0.9226693021828865,1.422280730506852,1.7303547573151337,1.443898220457664,1.2436436080697046,0.9199210726984184,0.565670801844197,1.1085548254057422,0.7026425098822325,1.7005805341922513,1.6825247686997096,-0.9329128857739803,1.191014781046246,0.6313125824928625,0.324928789956019,0.6577395760692022,0.6863499364931788,0.752341475623781,1.7337052253106189,1.105706461587067,0.6027367912530965,0.6172437108126262,1.4304240126988976,1.6489179439851185,0.1289476647782315,-0.869562740380428
12,84.0,,,0.1856953381770524,,,0.4917163095737314,,,1.4850293854547236,-0.2175518086500624,-0.2175518086500623,1.6605622634917532,1.572579464791497,1.021408950704254,1.6152500499827158,-0.9330409891363706,1.5762309224704605,1.6074823760523107,1.6618200096104685,0.9800640959722192,0.9724982352935948,-1.0159372919832852,1.7320508075688774,0.9226693021828865,1.422280730506852,1.7303547573151337,1.443898220457664,1.2436436080697046,1.139969584391609,0.565670801844197,1.1085548254057422,0.7026425098822325,1.7005805341922513,1.6825247686997096,-0.9329128857739803,1.2132157217468291,0.6313125824928625,0.324928789956019,0.6577395760692022,0.6863499364931788,0.752341475623781,1.7337052253106189,1.105706461587067,0.6027367912530965,0.6172437108126262,1.4304240126988976,1.6489179439851185,-0.0806891929401577,-0.869562740380428
13,87.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9330409891363706,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0159372919832852,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.9329128857739803,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.869562740380428
14,85.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.1633059077592081,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,0.8192484262254859,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.1248241266296101,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.3367193181130153
15,85.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.0840803037175177,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,0.8192484262254859,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.1248241266296101,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.1221593828183197
16,86.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.2175040614055033,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,0.6054826251675923,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.3439883439314612,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,0.0920361353945687
17,84.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.2548475734999155,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,0.6054826251675923,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.3439883439314612,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,0.2931849861712911
18,68.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.26885139053532,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,0.6054826251675923,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.3439883439314612,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,0.2931849861712911
19,88.0,0.9999999999999998,0.9999999999999998,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.3927913557058424,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,2.34501411263378,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.0169048304510426,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.3022189347541406
20,85.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,2.024633708569158,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,1.1151940542823269,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.9697305621506996,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,1.187355983662514
21,68.0,-1.0,-1.0,,-1.224744871391585,-1.224744871391585,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,1.4740918360322948,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,2.199322122155715,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.9940478092446134,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,0.9971222283471236
22,87.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,0.4225337359452096,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,0.184758404109788,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,-0.4679320858598046,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,0.0081197239277086
23,37.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-1.0259027364186826,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.4037642810104196,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,-0.0526776391433324
24,9.0,,,,,,-0.1729636545085497,,,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,-0.9215901528829502,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-0.953969070599792,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,0.1646779432917233,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,0.0446471773041351
25,84.0,,,,,,-0.1729636545085497,0.7071067811865511,0.7071067811865511,0.0928143365909203,,,-0.4322508667804196,-0.1211709190331921,0.5839333208604315,-0.0142518045715681,,0.1178522016611382,0.0255637692439304,-0.4640111756437078,0.8574636732026839,1.0716477960663775,-0.9884972301928594,-0.5773502691896258,1.1729512705896592,0.3480367639014094,-0.5822002134108877,0.3152553208998548,0.2738485310959856,1.240847985241717,-1.1846067775364286,0.4192979391431046,1.0308727539027127,-0.5943225179210394,-0.6691041878211763,1.1617105203995373,0.1293656456661658,1.0649230082551178,1.3845006461232328,1.2617185402757596,1.2153023149500253,0.8609893701735346,-0.3728570154053589,0.4578449270563101,1.2452930192254814,1.2287186047956644,0.079504218655956,-0.5496133485171606,0.3456473618968226,0.7055470300722897
26,86.0,,,,,,,,,0.0928143365909203,,,0.145425445207044,1.2129908791676545,0.0993353880279819,0.4355373371819674,-0.9330409891363706,1.1269985335073505,1.06683024912113,-0.1776307386140102,-0.6388013956606863,-0.7094014241950138,-1.0159372919832852,-0.5773502691896258,-0.746211053953526,-0.4560034008170666,-0.5822002134108877,-0.4422138236916429,0.7206492103833161,1.0388519695142726,,-0.9592158333821706,-0.6980627713169492,-0.5943225179210394,-0.6454495223664675,-0.9329128857739803,-0.9022944680802586,-0.6590554118924526,-0.308770880322378,-0.892961090901454,-0.8641755722000769,0.8609893701735346,0.6309108898930662,0.7721968057362435,-0.8560163491199864,-0.8401115761526777,0.706971765817044,-0.5515228101222012,-0.3650298554670467,-0.869562740380428
27,39.0,,,,,,,,,0.0928143365909203,,,0.145425445207044,1.2129908791676545,0.0993353880279819,0.4355373371819674,-0.1633059077592081,1.1269985335073505,1.06683024912113,-0.1776307386140102,-0.6388013956606863,-0.7094014241950138,0.8192484262254859,-0.5773502691896258,-0.746211053953526,-0.4560034008170666,-0.5822002134108877,-0.4422138236916429,0.7206492103833161,1.0388519695142726,,-0.9592158333821706,-0.6980627713169492,-0.5943225179210394,-0.6454495223664675,-0.1248241266296101,-0.9022944680802586,-0.6590554118924526,-0.308770880322378,-0.892961090901454,-0.8641755722000769,0.8609893701735346,0.6309108898930662,0.7721968057362435,-0.8560163491199864,-0.8401115761526777,0.706971765817044,-0.5515228101222012,-0.3650298554670467,-0.3367193181130153
28,88.0,,,,,,,,,0.0928143365909203,,,0.145425445207044,1.2129908791676545,0.0993353880279819,0.4355373371819674,-0.0840803037175177,1.1269985335073505,1.06683024912113,-0.1776307386140102,-0.6388013956606863,-0.7094014241950138,0.8192484262254859,-0.5773502691896258,-0.746211053953526,-0.4560034008170666,-0.5822002134108877,-0.4422138236916429,0.7206492103833161,1.0388519695142726,,-0.9592158333821706,-0.6980627713169492,-0.5943225179210394,-0.6454495223664675,-0.1248241266296101,-0.9022944680802586,-0.6590554118924526,-0.308770880322378,-0.892961090901454,-0.8641755722000769,0.8609893701735346,0.6309108898930662,0.7721968057362435,-0.8560163491199864,-0.8401115761526777,0.706971765817044,-0.5515228101222012,-0.3650298554670467,-0.1221593828183197
