,entry,R1-,organocatalyst,yield,R2_C,R2_H,under_O2,under_air,solvent_CH3CN,solvent_DMF,solvent_MeOH,solvent_toluene,organocatalyst(mol%),temp(â„ƒ),time(h)
0,1,[*]C1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,81.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
1,2,[*]C1=CC=CC=C1,ClC1=CC=C(C(O)=O)C(O)=C1,14.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.8011999734023415
2,3,[*]C1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,74.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
3,4,[*]C1=CC=CC=C1,OC1=CC(C)=CC=C1C(O)=O,15.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.8011999734023415
4,5,[*]C1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,90.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
5,6,[*]C1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,81.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.8011999734023415
6,7,[*]C1=CC=CC=C1,OC1=CC(OC)=CC=C1C(O)=O,43.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.0110380616743833
7,8,[*]C1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,88.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.8011999734023415
8,9,[*]C1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,95.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
9,10,[*]C1=CC=CC=C1,COC1=CC(OC)=C(C(O)=O)C(O)=C1,65.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
10,11,[*]C1=CC=CC=C1,CC(/N=N/C(C)(C#N)C)(C#N)C,33.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
11,12,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,93.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
12,13,[*]C1=CC=CC=C1,O=C1C(C=C(O)C(C(C)(C)C)=C1)=O,84.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
13,2a,[*]C1=CC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,87.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
14,2b,[*]C1=C(C)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,85.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
15,2c,[*]C1=CC=C(C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,85.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
16,2d,[*]C1=C(OC)C=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,86.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
17,2e,[*]C1=CC(OC)=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,84.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
18,2f,[*]C1=CC=C(OC)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,68.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
19,2g,[*]C1=CC=C(C(C)(C)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,88.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
20,2h,[*]C1=CC=C(Cl)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,85.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
21,2i,[*]C1=CC=C(C(F)(F)F)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,68.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
22,2j,[*]C1=C(C=CC=C2)C2=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,87.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
23,2k,[*]C1=CC=CO1,OC1=CC(OC)=CC(OC)=C1C(O)=O,37.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
24,2l,[*]C1=NC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,9.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
25,2m,[*]C1=CC=CS1,OC1=CC(OC)=CC(OC)=C1C(O)=O,84.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
26,2a,[*]C1=CC=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,86.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
27,2b,[*]C1=C(C)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,39.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
28,2c,[*]C1=CC=C(C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,88.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
29,2d,[*]C1=C(OC)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,83.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
30,2e,[*]C1=CC(OC)=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,83.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
31,2f,[*]C1=CC=C(OC)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,86.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
32,2g,[*]C1=CC=C(C(C)(C)C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,87.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
33,2,[*]C1=CC=CC=C1,OC1=CC=CC=C1,7.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
34,3,[*]C1=CC=CC=C1,O=C(C1=CC=CC=C1)O,32.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
35,4,[*]C1=CC=CC=C1,OC1=C(C(O)=O)C=CC=C1,80.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
36,5,[*]C1=CC=CC=C1,O=C(C1=C(OC)C=CC=C1)O,6.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
37,6,[*]C1=CC=CC=C1,OC1=C(C(OC)=O)C=CC=C1,11.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
38,7,[*]C1=CC=CC=C1,OC1=C(CC(O)=O)C=CC=C1,32.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
39,8,[*]C1=CC=CC=C1,CC(O)=O,3.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
40,9,[*]C1=CC=CC=C1,CC1=CC=C(S(=O)(O)=O)C=C1,0.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-0.17168570858621604
41,1n,[*]C1=CC=C(CO)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,50.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
42,1o,[*]C1=CC=C(C(O)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,40.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
43,1p,[*]C1=CC=C(O)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,0.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.115957105810404
44,1,[*]C1=CC=CC=C1,OC1=CC(O)=CC=C1C(O)=O,4.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
45,2,[*]C1=CC=CC=C1,OC1=CC=CC(O)=C1C(O)=O,6.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
46,3,[*]C1=CC=CC=C1,OC1=CC=CC=C1C(O)=O,3.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
47,4,[*]C1=CC=CC=C1,OC1=CC=C(C(O)=O)C=C1,3.0,0,1,1,0,0,0,0,1,-0.5995257606846857,1.120490325006081,-1.325795194082446
48,1,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,87.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
49,2,[*]C1=CC=C(N)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,76.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
50,3,[*]C1=CC=C(OC)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,93.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
51,4,[*]C1=CC=C(Cl)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,90.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
52,5,[*]C1=CC=C(F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,91.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
53,6,[*]C1=CC=C(C(F)(F)F)C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,78.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,1.0873428210460347
54,7,[*]C1=CC=CC(Cl)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,72.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,1.0873428210460347
55,8,[*]C1=CC=CC(I)=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,70.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
56,9,[*]C1=CC=CC=C1C,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,86.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
57,10,[*]C1=CC=CC=C1OC,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,73.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
58,11,[*]C1=C(C=CC=C2)C2=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,81.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
59,12,[*]C1=CC(OCO2)=C2C=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,91.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
60,13,[*]C1=CC=CO1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,80.0,0,1,1,0,1,0,0,0,-1.5416376703320487,-0.9356018127993281,-0.3815237968582579
61,1,[*]C1=CC=CC=C1,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,69.0,1,0,1,0,0,1,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
62,1,[*]C1=CC=C(C)C=C1,OC1=CC=CC(O)=C1O,90.0,0,1,0,1,0,0,1,0,-0.8687005920125036,-0.9356018127993281,-0.17168570858621604
63,2,[*]C1=CC=C(C)C=C1,OC1=CC=CC(O)=C1N,5.0,0,1,0,1,0,0,1,0,-0.8687005920125036,-0.9356018127993281,-0.17168570858621604
64,3,[*]C1=CC=C(C)C=C1,OC1=C2C(C=CC=C(O)C2=O)=CC(O)=C1O,75.0,0,1,0,1,0,0,1,0,-1.4070502546681396,-0.9356018127993281,-0.17168570858621604
65,1,[*]C1=CC=C(OC)C=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,39.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
66,2,[*]C1=CC=C(OC)C=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,64.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
67,3,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,69.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
68,4,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,47.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
69,5,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,63.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
70,6,[*]C1=CC=C(OC)C=C1,O=C1C(CCCCC)=C(CCCCC)C2=CC=CC=C2C1=O,9.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
71,7,[*]C1=CC=C(OC)C=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,29.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
72,12,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,91.0,0,1,1,0,1,0,0,0,3.4380967092325845,-0.9356018127993281,-0.17168570858621604
73,13,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,33.0,0,1,1,0,1,0,0,0,-0.5995257606846857,-0.9356018127993281,1.0873428210460347
74,1,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.0,0,1,0,1,1,0,0,0,2.0922225525934945,0.8136109014530347,1.0873428210460347
75,2,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.0,0,1,0,1,1,0,0,0,2.0922225525934945,0.8136109014530347,1.0873428210460347
76,3,[*]C1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.0,0,1,0,1,1,0,0,0,2.0922225525934945,0.8136109014530347,1.0873428210460347
77,4,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,32.0,1,0,0,1,1,0,0,0,-0.5995257606846857,-0.9356018127993281,1.0873428210460347
78,5,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,46.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
79,6,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,36.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
80,7,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,44.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
81,8,[*]C1=CC=CC=C1,O=C1C=CC2=CC=CC=C2C1=O,11.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
82,9,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=C(OC)C=C3C1=O,40.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
83,10,[*]C1=CC=CC=C1,O=C1C(C)=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,21.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
84,11,[*]C1=CC=CC=C1,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,8.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
85,12,[*]C1=CC=CC=C1,O=C1C(CCC)=C(CCC)C2=CC=CC=C2C1=O,17.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
86,13,[*]C1=CC=CC=C1,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,37.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
87,14,[*]C1=CC=CC=C1,O=C1C=C(OC)C2=CC=CC=C2C1=O,21.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
88,19,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,21.0,1,0,0,1,1,0,0,0,0.7463483959544044,0.1998520543469425,1.0873428210460347
89,20,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,7.0,1,0,0,1,1,0,0,0,0.7463483959544044,0.8136109014530347,1.0873428210460347
90,21,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.0,1,0,0,1,1,0,0,0,2.0922225525934945,0.8136109014530347,1.0873428210460347
91,22,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2.0,1,0,1,0,1,0,0,0,2.0922225525934945,0.8136109014530347,1.0873428210460347
92,24,[*]C1=CC=CC=C1,O=C1C=CC(C=C1C(C)(C)C)=O,14.0,1,0,0,1,1,0,0,0,2.0922225525934945,0.8136109014530347,1.0873428210460347
93,3d,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,86.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
94,3e,[*]C1=CC=C(C)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,67.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
95,3f,[*]C1=CC=C(OC)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,69.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
96,3g,[*]C1=CC=C(F)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,88.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
97,3h,[*]C1=CC=C(Cl)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,80.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
98,3i,[*]C1=CC=C(Br)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,84.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
99,3j,[*]C1=CC=CC(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,79.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
100,3k,[*]C1=CC=CC(Br)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,82.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
101,3l,[*]C1=CC=C(Cl)C(Cl)=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,90.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
102,3m,[*]C1=CC=C([N+]([O-])=O)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,65.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
103,3n,[*]C1=CC=C(C(OC)=O)C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,80.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
104,3o,[*]C1=CC(OCO2)=C2C=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,76.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
105,3q,[*]C1=CC=CS1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,89.0,1,0,0,1,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.17168570858621604
106,6,[*]C1=CC=CC=C1,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,94.0,1,0,0,1,1,0,0,0,2.0922225525934945,-0.9356018127993281,0.45782855622990937
107,2a,[*]C1=CC=CO1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,99.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
108,2b,[*]C1=CC=C(F)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,80.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
109,2c,[*]C1=CC=C(Cl)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,97.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
110,2d,[*]C1=CC=C(Br)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,98.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,2.3463713506782855
111,2e,[*]C1=CC=C([N+]([O-])=O)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,99.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
112,2f,[*]C1=CC=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,75.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
113,2g,[*]C1=CC=C(OC)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,95.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
114,2h,[*]C1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,95.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
115,2h-c,[*]C1=CC(Cl)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,81.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,2.3463713506782855
116,2i,[*]C1=CC(Br)=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,95.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,2.3463713506782855
117,2j,[*]C1=CC=CC(OC)=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,89.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,1.0873428210460347
118,2k,[*]C1=CC(C)=C(C)C=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,99.0,1,0,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,2.3463713506782855
119,2m,[*]C1=CSC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,83.0,1,0,1,0,1,0,0,0,0.7463483959544044,0.1998520543469425,1.0873428210460347
120,2p,[*]C1=CC=CC=C1,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,99.0,0,1,1,0,1,0,0,0,0.7463483959544044,-0.9356018127993281,-0.8011999734023415
